lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label,timestamp
0.0,0.0,0.0,-0.02751404,-0.023218334,0.036657475,-0.040206283,-0.072502136,0.055749353,-0.043720067,-0.10629475,0.06413944,-0.044063956,-0.14044446,0.07121062,-0.05880797,-0.1118716,0.07113017,-0.05513525,-0.16762578,0.08846314,-0.045717984,-0.20864123,0.095655374,-0.03563699,-0.23338878,0.099750765,-0.060696512,-0.14223117,0.05305563,-0.05809316,-0.21570921,0.07349402,-0.041381,-0.25727797,0.07885003,-0.02646771,-0.28858292,0.080444254,-0.05370933,-0.1714012,0.034600504,-0.054012984,-0.2512645,0.051770456,-0.033326447,-0.29381478,0.05577859,-0.014635712,-0.32255006,0.055555787,-0.039855897,-0.20027602,0.017677259,-0.04282719,-0.2697668,0.03143245,-0.030598313,-0.30273843,0.040143136,-0.016581923,-0.3190298,0.044866666,HELLO,2025-12-11T16:07:45.683377
0.0,0.0,0.0,0.087595195,-0.05911106,-0.036219258,0.14223251,-0.18843275,-0.042643722,0.16254064,-0.317941,-0.04562366,0.1859824,-0.41860646,-0.047034614,0.09367782,-0.36269695,-0.0034499306,0.116365045,-0.4784308,-0.014013861,0.12672496,-0.54710275,-0.028540812,0.13458177,-0.6158663,-0.040959496,0.03917639,-0.3907373,0.0027809732,0.05271493,-0.50702447,-0.0024039415,0.061484307,-0.57366085,-0.014009851,0.069761515,-0.63804287,-0.02461422,-0.017267585,-0.3833007,0.0025445223,-0.023664027,-0.5001087,-0.008309002,-0.024319708,-0.56265044,-0.01728771,-0.022041768,-0.6199163,-0.024278289,-0.07594913,-0.3454153,-0.0017867544,-0.102566704,-0.4477033,-0.015914261,-0.115098506,-0.51578,-0.022604823,-0.12275539,-0.5798548,-0.02628608,HELLO,2025-12-11T16:07:45.683392
0.0,0.0,0.0,0.0703264,-0.08724123,-0.022187095,0.11426912,-0.2006284,-0.025119834,0.13382323,-0.31363755,-0.029693596,0.14968197,-0.40493432,-0.034217868,0.069989786,-0.33788207,0.015105144,0.09212248,-0.4354434,8.3855e-05,0.10428889,-0.491009,-0.017269563,0.11574291,-0.541,-0.030228069,0.028970942,-0.35522634,0.013642351,0.04148884,-0.4679206,0.002312442,0.053064838,-0.521891,-0.012748812,0.06803076,-0.5595823,-0.024980176,-0.014897719,-0.34619984,0.0055071875,-0.0150643885,-0.4641491,-0.011285216,-0.011797264,-0.52573586,-0.023834834,-0.0009163767,-0.56440973,-0.032654703,-0.06310287,-0.3155958,-0.005672848,-0.07707748,-0.40842253,-0.021994514,-0.07410447,-0.4568969,-0.028986463,-0.063116,-0.48910975,-0.033413667,HELLO,2025-12-11T16:07:45.683397
0.0,0.0,0.0,0.061105505,-0.082595766,-0.021296859,0.097432986,-0.19612265,-0.023135215,0.11029275,-0.29895604,-0.024942862,0.1164401,-0.38226148,-0.026609525,0.04193355,-0.3203422,0.007823942,0.053261414,-0.4211158,-0.0049545756,0.061102226,-0.47927845,-0.020511087,0.06953813,-0.53192246,-0.03236031,0.0012778044,-0.32691088,0.0066094855,0.006524086,-0.44483078,-0.004096382,0.014565632,-0.5158654,-0.020250203,0.025327042,-0.5753554,-0.033090804,-0.038575754,-0.3071717,3.457595e-05,-0.047906697,-0.42314956,-0.015891448,-0.046230555,-0.4902455,-0.03167041,-0.037579462,-0.54202276,-0.042600047,-0.07951519,-0.26647782,-0.008974764,-0.09031539,-0.3560998,-0.025825473,-0.087550476,-0.41103268,-0.035954747,-0.07728304,-0.45860553,-0.042778417,HELLO,2025-12-11T16:07:45.683400
0.0,0.0,0.0,0.062328815,-0.06659514,-0.028855946,0.10404703,-0.18451178,-0.037128888,0.121816814,-0.28868985,-0.04286578,0.13124621,-0.3722853,-0.04805322,0.03852141,-0.3359897,-0.017395964,0.04525262,-0.45785677,-0.03445124,0.048264623,-0.5337165,-0.050261438,0.05016637,-0.6025108,-0.062108554,-0.0046314,-0.34627855,-0.017569559,-0.006195754,-0.48467013,-0.032017946,-0.004151404,-0.5770551,-0.04727661,-0.0030521452,-0.65651906,-0.058582082,-0.0450494,-0.32648557,-0.022201914,-0.059184685,-0.4578635,-0.039658643,-0.0631395,-0.5439755,-0.055694066,-0.06512335,-0.6198621,-0.06629513,-0.0833586,-0.2818275,-0.029661428,-0.110122636,-0.38397798,-0.049263287,-0.12485871,-0.45378983,-0.06097876,-0.13588059,-0.52220786,-0.06795213,HELLO,2025-12-11T16:07:45.683403
0.0,0.0,0.0,0.07048327,-0.05643922,-0.026583493,0.119876415,-0.16946626,-0.03664535,0.1465404,-0.2745754,-0.045924008,0.17888975,-0.34857255,-0.055049285,0.07591331,-0.34874204,-0.0118647115,0.09612328,-0.46684211,-0.030412456,0.1097188,-0.541776,-0.047762524,0.12195304,-0.6092813,-0.060975567,0.031702787,-0.36887202,-0.014815739,0.042710453,-0.5104271,-0.031452585,0.053129017,-0.601087,-0.047951207,0.06299305,-0.68029773,-0.060301054,-0.010669261,-0.35445487,-0.022801712,-0.013920158,-0.4937265,-0.043691322,-0.013879716,-0.5833904,-0.06140018,-0.011113733,-0.6628494,-0.073280744,-0.054571554,-0.30996877,-0.033429503,-0.0763087,-0.42050576,-0.054922715,-0.090188265,-0.49432075,-0.06703157,-0.1004301,-0.57103825,-0.074880354,HELLO,2025-12-11T16:07:45.683406
0.0,0.0,0.0,0.06942704,-0.04867512,-0.029104184,0.12345904,-0.14439654,-0.041882716,0.15520042,-0.2411111,-0.05393934,0.19060871,-0.31285837,-0.06558836,0.08886045,-0.33035642,-0.016698541,0.11366987,-0.4493581,-0.039274767,0.1279093,-0.52505374,-0.058808535,0.13877037,-0.59549814,-0.073305845,0.047118664,-0.3573693,-0.019916872,0.065063,-0.49785873,-0.040467143,0.0764904,-0.58940923,-0.059277736,0.08529168,-0.6750325,-0.072824135,0.004160434,-0.3484025,-0.0282062,0.0035452247,-0.48298824,-0.05247093,0.006057769,-0.57118475,-0.07000295,0.010894477,-0.65377104,-0.081211984,-0.041279793,-0.31025362,-0.039405383,-0.060038462,-0.41793656,-0.06377724,-0.07270819,-0.4902859,-0.076131366,-0.08125237,-0.5659545,-0.08335759,HELLO,2025-12-11T16:07:45.683409
0.0,0.0,0.0,0.066177726,-0.043363154,-0.031036774,0.11911139,-0.14500666,-0.042853672,0.14994687,-0.2452777,-0.052842654,0.18659464,-0.3097195,-0.06201351,0.08368504,-0.32883272,-0.019127369,0.10527858,-0.4491374,-0.038561143,0.115861684,-0.5297213,-0.055184767,0.12444353,-0.60100234,-0.06862135,0.039975524,-0.3549596,-0.020972745,0.051656336,-0.50332075,-0.04028393,0.06016752,-0.6020311,-0.057970934,0.06718981,-0.68832517,-0.071083136,-0.0021012127,-0.34456503,-0.027670337,-0.0055387914,-0.48168552,-0.05134266,-0.005584806,-0.5715977,-0.06988376,-0.003194064,-0.6527623,-0.08198024,-0.04521951,-0.30599442,-0.037301358,-0.06673351,-0.40945232,-0.06302393,-0.08147161,-0.4805084,-0.07802489,-0.091253415,-0.55508995,-0.0872387,HELLO,2025-12-11T16:07:45.683412
0.0,0.0,0.0,0.064557314,-0.048698425,-0.03665322,0.109714925,-0.15498942,-0.05151982,0.13572308,-0.2605474,-0.06353587,0.1672678,-0.3311254,-0.07476894,0.06775054,-0.33234784,-0.0328885,0.0863536,-0.46581203,-0.054848954,0.09341395,-0.5487336,-0.07111314,0.096949965,-0.62139666,-0.08410422,0.019275546,-0.3521864,-0.03294905,0.022330105,-0.50636494,-0.0550621,0.02281338,-0.60397077,-0.07253835,0.021386206,-0.687541,-0.08513951,-0.023933798,-0.33367392,-0.037420202,-0.039673954,-0.47151798,-0.062202,-0.047142535,-0.5615342,-0.07998134,-0.051142216,-0.64313763,-0.0918871,-0.06405872,-0.28476334,-0.04516299,-0.098107815,-0.38101405,-0.07224238,-0.119291276,-0.4488964,-0.08729684,-0.134522,-0.5191188,-0.096343435,HELLO,2025-12-11T16:07:45.683414
0.0,0.0,0.0,0.06662354,-0.05014354,-0.04119305,0.115780145,-0.15144938,-0.059772372,0.13769501,-0.258662,-0.0746488,0.16806701,-0.33991945,-0.08888104,0.074123204,-0.3269905,-0.03726652,0.09524587,-0.4578515,-0.06319589,0.10414964,-0.542865,-0.0827957,0.11058894,-0.61954045,-0.09745387,0.025577724,-0.34831133,-0.035563946,0.03279975,-0.49952272,-0.059122723,0.036780953,-0.5984301,-0.077824324,0.04008311,-0.68456876,-0.09147732,-0.019524127,-0.3327132,-0.038819794,-0.02803284,-0.47295007,-0.06420269,-0.03195113,-0.5672499,-0.0820115,-0.031706244,-0.65151834,-0.09381925,-0.063117355,-0.28706902,-0.045805976,-0.0917283,-0.3878913,-0.07222022,-0.10936712,-0.4600039,-0.08673018,-0.12202361,-0.5334813,-0.09548903,HELLO,2025-12-11T16:07:45.683417
0.0,0.0,0.0,0.06216675,-0.0524503,-0.046502367,0.10264897,-0.15562868,-0.0682062,0.1251497,-0.26494202,-0.08535605,0.15687579,-0.34870902,-0.10146662,0.056649804,-0.33897257,-0.047502887,0.07173318,-0.47643352,-0.07524205,0.07725832,-0.56537443,-0.09485971,0.07850605,-0.6455737,-0.10981322,0.0055868626,-0.35423025,-0.044836946,0.0015657544,-0.5059192,-0.07154312,-0.00068598986,-0.60516775,-0.09121628,-0.004382938,-0.69309694,-0.10571872,-0.040071696,-0.3290047,-0.0472201,-0.060058773,-0.46143407,-0.07617496,-0.07108368,-0.5521723,-0.095516264,-0.07920021,-0.6328132,-0.108322285,-0.08141807,-0.2732847,-0.05359567,-0.119730785,-0.36699724,-0.083447196,-0.144933,-0.43331254,-0.09994599,-0.16522592,-0.5013054,-0.10990574,HELLO,2025-12-11T16:07:45.683420
