lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label,timestamp
0.0,0.0,0.0,-0.08674258,-0.016767621,-0.007874461,-0.15538806,-0.09046227,-0.017778706,-0.20913213,-0.12840873,-0.030144127,-0.2600211,-0.15270889,-0.043067414,-0.078234434,-0.31843883,-0.0023045847,-0.17076981,-0.3289084,-0.022469847,-0.23230451,-0.33620468,-0.04397224,-0.2837951,-0.33970508,-0.060928367,-0.065095484,-0.31790966,-0.015749175,-0.17608583,-0.33128375,-0.0375904,-0.24450177,-0.33629006,-0.060142778,-0.30207926,-0.3406397,-0.07739665,-0.06053126,-0.28910938,-0.03147943,-0.16709524,-0.3080979,-0.05557893,-0.23225528,-0.3174372,-0.07116312,-0.28508726,-0.3280092,-0.08062529,-0.06507176,-0.23906836,-0.048173472,-0.15122807,-0.26207575,-0.07049728,-0.20068848,-0.27778712,-0.08014599,-0.23915368,-0.2953926,-0.085128926,NO,2025-12-11T16:09:56.810120
0.0,0.0,0.0,-0.09767902,-0.034479618,-0.0024578378,-0.1677934,-0.11389178,-0.015115193,-0.23159724,-0.1521383,-0.033140685,-0.29151773,-0.16938263,-0.05102723,-0.100057304,-0.3494339,0.012877767,-0.1919257,-0.36875397,-0.00882268,-0.2530728,-0.37489605,-0.036287576,-0.30542478,-0.37567422,-0.0581355,-0.082807004,-0.35639656,-0.005116823,-0.19444048,-0.3761702,-0.025938142,-0.2596162,-0.37811363,-0.051606882,-0.3144433,-0.37964958,-0.07267667,-0.07437807,-0.32893008,-0.026442751,-0.18267709,-0.35627943,-0.047240842,-0.24611086,-0.36705297,-0.061044544,-0.29853725,-0.37358677,-0.071283475,-0.07950956,-0.27355847,-0.049075913,-0.16461384,-0.30012217,-0.066647395,-0.21344876,-0.32121643,-0.07463387,-0.25397825,-0.34053326,-0.08034025,NO,2025-12-11T16:09:56.810130
0.0,0.0,0.0,-0.10305548,-0.04177046,0.0040364466,-0.17121756,-0.118489385,-0.0069578174,-0.23384458,-0.1566354,-0.024359223,-0.2933601,-0.17314595,-0.042457025,-0.10075486,-0.36082947,0.015285715,-0.19483423,-0.38262784,-0.0039657773,-0.25637895,-0.3868981,-0.029212356,-0.3098269,-0.38921893,-0.049688257,-0.08568168,-0.3635695,-0.004650693,-0.19950563,-0.38800573,-0.023248589,-0.2655815,-0.389171,-0.04723296,-0.3218513,-0.39138323,-0.067466624,-0.08025622,-0.33104762,-0.026770793,-0.18918788,-0.3628608,-0.04458778,-0.25336725,-0.37482736,-0.056275763,-0.30794328,-0.38373435,-0.06578264,-0.08834022,-0.27136993,-0.04953978,-0.17136198,-0.30184895,-0.064022794,-0.21894604,-0.3228183,-0.069401786,-0.2590645,-0.3413961,-0.073627636,NO,2025-12-11T16:09:56.810133
0.0,0.0,0.0,-0.10238135,-0.04300672,0.0063379584,-0.17172253,-0.11817706,-0.0035540666,-0.23507029,-0.1535151,-0.02033971,-0.29252893,-0.17344767,-0.037676264,-0.099353194,-0.3593236,0.019859003,-0.19366771,-0.3811137,0.0032050067,-0.25433958,-0.38416177,-0.021128746,-0.30708396,-0.38647318,-0.041438874,-0.085026085,-0.36306348,-0.0010412878,-0.19869155,-0.3837943,-0.016268706,-0.26396066,-0.38458252,-0.03897,-0.31999034,-0.38732335,-0.058902714,-0.07988137,-0.3318382,-0.024130126,-0.18862206,-0.35753927,-0.03846947,-0.25132984,-0.36697417,-0.048843283,-0.30623844,-0.37647575,-0.05833557,-0.08726698,-0.2739842,-0.04797903,-0.17012215,-0.29915825,-0.0603319,-0.21793425,-0.3157549,-0.064848125,-0.2596925,-0.33160424,-0.06878387,NO,2025-12-11T16:09:56.810136
0.0,0.0,0.0,-0.09968817,-0.033654332,0.0034727643,-0.16823697,-0.10667348,-0.006096312,-0.22920656,-0.14396387,-0.021261904,-0.28539413,-0.15961695,-0.03744898,-0.09969908,-0.35010007,0.010023589,-0.1928811,-0.36806864,-0.008556045,-0.25296652,-0.36989152,-0.03235513,-0.30387288,-0.37136412,-0.051821142,-0.08445066,-0.35423082,-0.008189047,-0.19712442,-0.3730974,-0.02581802,-0.2621202,-0.37161398,-0.047147695,-0.31795377,-0.37579316,-0.06554376,-0.07862139,-0.32118815,-0.02840398,-0.18885022,-0.343378,-0.045934893,-0.24999672,-0.35166663,-0.056666683,-0.30215052,-0.3631888,-0.06568719,-0.0859378,-0.2613768,-0.049179375,-0.16867411,-0.28374285,-0.06433085,-0.21571547,-0.29901832,-0.070358194,-0.25592387,-0.31697512,-0.07506888,NO,2025-12-11T16:09:56.810140
0.0,0.0,0.0,-0.09930211,-0.034989536,0.0032963364,-0.16881114,-0.10759151,-0.0065269554,-0.2302044,-0.13980019,-0.022048973,-0.2866699,-0.15446824,-0.038579796,-0.104592085,-0.3528734,0.009677069,-0.19764292,-0.37001032,-0.01046249,-0.25783527,-0.37432504,-0.03560357,-0.3091645,-0.37558883,-0.055772614,-0.09039086,-0.3528183,-0.009084789,-0.20227832,-0.37251812,-0.02765361,-0.2677021,-0.37620258,-0.050694156,-0.3249377,-0.3815431,-0.07056863,-0.08464837,-0.31748307,-0.029875586,-0.19384265,-0.34529257,-0.0486457,-0.25563204,-0.35632926,-0.061009847,-0.30877692,-0.36741474,-0.07092057,-0.09139407,-0.25542188,-0.05113934,-0.17573738,-0.28699544,-0.067550935,-0.22344518,-0.30903438,-0.07466018,-0.26408374,-0.33196968,-0.07996172,NO,2025-12-11T16:09:56.810143
0.0,0.0,0.0,-0.09918016,-0.033204854,0.0016890061,-0.16931963,-0.10223454,-0.009412347,-0.22966313,-0.13717794,-0.025664074,-0.28505206,-0.15576732,-0.04221033,-0.106924295,-0.34578598,0.008328105,-0.2024895,-0.36434907,-0.01127706,-0.26253963,-0.36895132,-0.03562264,-0.3145117,-0.37323463,-0.05523266,-0.0916754,-0.35032505,-0.009372494,-0.20541793,-0.37054494,-0.027799128,-0.27110523,-0.37291822,-0.05008754,-0.32575712,-0.37809807,-0.06928565,-0.085253,-0.31862402,-0.029048176,-0.1931032,-0.34355694,-0.046678625,-0.2572412,-0.3550368,-0.058411926,-0.31032738,-0.36504984,-0.068254754,-0.09073794,-0.26008725,-0.049463905,-0.17050493,-0.284589,-0.064267285,-0.21823317,-0.3000114,-0.070488445,-0.2583199,-0.31542468,-0.07542073,NO,2025-12-11T16:09:56.810146
0.0,0.0,0.0,-0.100735605,-0.036997557,0.004821378,-0.17066813,-0.106746614,-0.005641456,-0.2315324,-0.1417734,-0.022123633,-0.2881258,-0.15847343,-0.039176352,-0.10699785,-0.34876052,0.012161939,-0.20236719,-0.3670864,-0.0069912304,-0.26261336,-0.36928254,-0.03132009,-0.31430614,-0.3711657,-0.050980937,-0.09084213,-0.35394204,-0.007516657,-0.20503014,-0.37435544,-0.025452437,-0.27062535,-0.3754308,-0.047364935,-0.3253357,-0.378592,-0.06638946,-0.08351332,-0.32225472,-0.029178731,-0.19297796,-0.3464963,-0.046070024,-0.25659192,-0.35657758,-0.05682938,-0.30954316,-0.36576277,-0.06628539,-0.08836943,-0.26356548,-0.05141793,-0.17010802,-0.28668362,-0.065492734,-0.21770912,-0.30221844,-0.07104772,-0.25804198,-0.3185163,-0.07581763,NO,2025-12-11T16:09:56.810149
0.0,0.0,0.0,-0.10096657,-0.0378533,0.0054502874,-0.17207497,-0.109942496,-0.003896973,-0.233374,-0.14333117,-0.01939778,-0.28801343,-0.15849483,-0.03550298,-0.10376215,-0.3462119,0.011442447,-0.20064276,-0.3674933,-0.00832806,-0.26161087,-0.3691467,-0.03262583,-0.31408638,-0.36678684,-0.051703498,-0.0896731,-0.34934014,-0.007932049,-0.20471185,-0.37143216,-0.02662552,-0.27063608,-0.37089533,-0.048817478,-0.3260227,-0.36996904,-0.0674951,-0.08439922,-0.31685698,-0.029138392,-0.19562143,-0.3439464,-0.04674892,-0.25916433,-0.35238892,-0.057906512,-0.311753,-0.35904187,-0.06689448,-0.09158033,-0.25858474,-0.050734784,-0.17645139,-0.28765738,-0.06523433,-0.22626233,-0.30440414,-0.070966564,-0.2673993,-0.31959024,-0.075311944,NO,2025-12-11T16:09:56.810151
0.0,0.0,0.0,-0.10068226,-0.037139118,0.008657324,-0.17271823,-0.10920942,0.00012774127,-0.23504966,-0.14189202,-0.015151178,-0.29140526,-0.15567714,-0.031183086,-0.10656309,-0.35065114,0.015788715,-0.20290911,-0.3671754,-0.0027183157,-0.26340282,-0.36740112,-0.0266417,-0.31642044,-0.36424667,-0.045595415,-0.09364641,-0.35281485,-0.004749314,-0.2091394,-0.3706491,-0.021188485,-0.27349645,-0.36861593,-0.042318787,-0.32874578,-0.36812645,-0.060539275,-0.08938205,-0.32007873,-0.026900016,-0.20081586,-0.34093046,-0.04183735,-0.2628137,-0.3494808,-0.05145816,-0.31559244,-0.35704774,-0.059955604,-0.09699023,-0.26142555,-0.04935514,-0.1825828,-0.2825971,-0.061093204,-0.23037636,-0.2988785,-0.06521294,-0.27062052,-0.31514972,-0.06880582,NO,2025-12-11T16:09:56.810155
