lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label,timestamp
0.0,0.0,0.0,-0.055855513,-0.01988566,-0.023758354,-0.12474936,-0.11499047,-0.03651251,-0.14571738,-0.22628307,-0.051118195,-0.10686618,-0.30770552,-0.05827757,-0.092629254,-0.26156545,-0.001273088,-0.12750536,-0.32987973,-0.04337465,-0.11823845,-0.23138368,-0.055617962,-0.10493201,-0.21059972,-0.057056077,-0.04911846,-0.27897704,-0.006330348,-0.08651209,-0.33635592,-0.0508886,-0.07539827,-0.197384,-0.04464616,-0.05582261,-0.19507611,-0.025697533,-0.0027961135,-0.28120464,-0.020641586,-0.03819728,-0.3160128,-0.067976415,-0.031657457,-0.18188095,-0.04593629,-0.013459563,-0.18031329,-0.016138496,0.04904169,-0.27465498,-0.037370954,0.01348424,-0.30149245,-0.061002668,0.009663463,-0.20794344,-0.04458764,0.022653222,-0.19354373,-0.024202244,OK,2025-12-11T16:10:19.513636
0.0,0.0,0.0,-0.06093055,-0.03032118,-0.026503393,-0.12848347,-0.12902504,-0.040844787,-0.14852816,-0.23809117,-0.05693639,-0.11100185,-0.3137299,-0.06547468,-0.09540534,-0.27728367,0.0009006249,-0.13022435,-0.3371228,-0.042060424,-0.11912167,-0.23727572,-0.056040432,-0.10279924,-0.21826285,-0.0585233,-0.05230379,-0.28854963,-0.0030757869,-0.08827889,-0.349516,-0.050299782,-0.0775975,-0.21034622,-0.046314932,-0.058148503,-0.2010948,-0.027907029,-0.007207632,-0.2870484,-0.016892293,-0.040899217,-0.32722676,-0.06404814,-0.035186827,-0.1946339,-0.042882264,-0.01680249,-0.18905771,-0.013040541,0.04279864,-0.27785355,-0.03368986,0.0074210763,-0.30318397,-0.055800486,0.003688395,-0.21591812,-0.04038812,0.017459273,-0.20441937,-0.02067537,OK,2025-12-11T16:10:19.513641
0.0,0.0,0.0,-0.06473738,-0.05009365,-0.014752178,-0.12425536,-0.13376933,-0.023530584,-0.14603347,-0.23528898,-0.03701921,-0.11255425,-0.30943987,-0.045303013,-0.10155076,-0.25749016,0.0184885,-0.124254465,-0.3351935,-0.019190503,-0.121071815,-0.25495583,-0.03675667,-0.11069429,-0.21583748,-0.041475832,-0.059691846,-0.27022243,0.011276208,-0.08333504,-0.33831686,-0.028193885,-0.079452395,-0.22103667,-0.031776074,-0.064329624,-0.19147754,-0.020820577,-0.013702273,-0.2709993,-0.0042876727,-0.036905408,-0.3244853,-0.044159908,-0.0391981,-0.21276706,-0.031074317,-0.027202725,-0.18500352,-0.0081086755,0.037209153,-0.25954506,-0.021495692,0.006743729,-0.30682182,-0.037651844,-0.00021767616,-0.2302494,-0.022480931,0.009713948,-0.20222598,-0.003833714,OK,2025-12-11T16:10:19.513646
0.0,0.0,0.0,-0.06261706,-0.045276284,-0.02433265,-0.123090506,-0.12730002,-0.037605446,-0.14278156,-0.22718564,-0.053466216,-0.11171204,-0.30701306,-0.06272759,-0.111346126,-0.25704777,0.007837481,-0.13293123,-0.32009745,-0.034486555,-0.1233294,-0.2370454,-0.052957423,-0.11108959,-0.20994163,-0.05824624,-0.067205906,-0.27479452,0.004218392,-0.0881058,-0.3280597,-0.03819272,-0.078309715,-0.20636767,-0.039086144,-0.064462125,-0.19207436,-0.026588088,-0.018638134,-0.27786392,-0.009023565,-0.03805077,-0.31998372,-0.05234967,-0.03594047,-0.20491034,-0.036288597,-0.02488625,-0.18711865,-0.0115767345,0.034957588,-0.2690761,-0.025060903,0.01154238,-0.30250078,-0.044767406,0.005234897,-0.22269481,-0.03043061,0.011355281,-0.2002995,-0.012240544,OK,2025-12-11T16:10:19.513649
0.0,0.0,0.0,-0.062636435,-0.03487605,-0.023772696,-0.12577718,-0.12014192,-0.035802655,-0.1446178,-0.22685078,-0.049942482,-0.11572522,-0.30765638,-0.057539355,-0.110807955,-0.25464776,0.0047081513,-0.13062543,-0.32496655,-0.03564081,-0.12110329,-0.2335096,-0.052437037,-0.11161578,-0.205001,-0.057252906,-0.06632841,-0.2699171,0.00068111625,-0.08632672,-0.33257088,-0.039351508,-0.07755244,-0.2085445,-0.039531164,-0.06699675,-0.1950069,-0.027462972,-0.018282413,-0.2716864,-0.012371963,-0.03657037,-0.3265798,-0.054551937,-0.034703553,-0.20555747,-0.03793004,-0.02531892,-0.18644875,-0.0135643445,0.035019815,-0.26478434,-0.027960984,0.011760771,-0.30493283,-0.048821393,0.0069119334,-0.22110581,-0.034574576,0.013632596,-0.1981324,-0.016575528,OK,2025-12-11T16:10:19.513652
0.0,0.0,0.0,-0.05974114,-0.037356913,-0.029404702,-0.12082237,-0.1228345,-0.04487447,-0.140876,-0.22890669,-0.061796315,-0.11073738,-0.31479278,-0.071622066,-0.10469514,-0.2599239,0.002692744,-0.12624878,-0.32684433,-0.040399846,-0.115897894,-0.23810619,-0.05889399,-0.1053471,-0.21372205,-0.064539306,-0.059808075,-0.2727344,0.0003518858,-0.081428945,-0.3352292,-0.04388224,-0.07113522,-0.21222699,-0.045894083,-0.06016773,-0.20028937,-0.03393767,-0.012235999,-0.27218005,-0.011828219,-0.032954395,-0.32667434,-0.05716287,-0.029402614,-0.20547491,-0.040669,-0.020675004,-0.18864155,-0.015315283,0.039499283,-0.26163647,-0.0272021,0.016586006,-0.3058214,-0.04909419,0.011103034,-0.22300583,-0.03495051,0.016085148,-0.19992906,-0.016734222,OK,2025-12-11T16:10:19.513656
0.0,0.0,0.0,-0.059876382,-0.03064996,-0.02631322,-0.12410456,-0.116752684,-0.039504163,-0.14056921,-0.22181371,-0.054090247,-0.108760715,-0.29998815,-0.061376274,-0.10881823,-0.25324076,0.001399212,-0.13061976,-0.31900254,-0.038541064,-0.11899418,-0.22428328,-0.053167775,-0.11002898,-0.20903009,-0.05740456,-0.063797414,-0.26974112,-0.0024136745,-0.085511744,-0.32554466,-0.044411033,-0.07492483,-0.20070058,-0.0429036,-0.06465137,-0.19864851,-0.029510079,-0.016026437,-0.2719663,-0.015538803,-0.036520183,-0.31835845,-0.05874851,-0.031534314,-0.19699526,-0.039566208,-0.02234304,-0.1911853,-0.013787214,0.03621775,-0.26578736,-0.031711463,0.012783825,-0.29779786,-0.052523203,0.009903073,-0.2129432,-0.037249543,0.01649797,-0.19852561,-0.01901279,OK,2025-12-11T16:10:19.513660
0.0,0.0,0.0,-0.05939758,-0.031247497,-0.028057689,-0.12226063,-0.11965042,-0.041965015,-0.13949025,-0.22555473,-0.057199236,-0.109090924,-0.30789602,-0.06485633,-0.1049397,-0.26000923,0.002646298,-0.12923193,-0.32308525,-0.038504988,-0.116883636,-0.22510391,-0.053597227,-0.105588555,-0.20881957,-0.05777959,-0.061122358,-0.2764539,-0.0005501245,-0.08380866,-0.33288988,-0.044871207,-0.0729326,-0.20466506,-0.044240605,-0.060818017,-0.20161885,-0.030286336,-0.014050186,-0.2782423,-0.013488269,-0.03552282,-0.3218105,-0.058886543,-0.030579269,-0.19795424,-0.04024704,-0.01995337,-0.19259793,-0.013716465,0.037510037,-0.2713324,-0.02960971,0.012552798,-0.3005377,-0.05183746,0.0106083155,-0.21521062,-0.037188694,0.019328177,-0.20258391,-0.018691717,OK,2025-12-11T16:10:19.513663
0.0,0.0,0.0,-0.057320774,-0.0341388,-0.029957728,-0.120446384,-0.12073821,-0.045455217,-0.13959289,-0.22327739,-0.061790586,-0.108311355,-0.30539885,-0.07084168,-0.10557121,-0.26087725,-0.0006688702,-0.13119233,-0.31844598,-0.04244458,-0.11873466,-0.220792,-0.058446176,-0.10635203,-0.20556778,-0.06326354,-0.061052978,-0.27764902,-0.0027264275,-0.084469974,-0.33026555,-0.047375035,-0.07446307,-0.20231086,-0.04719238,-0.06254548,-0.19809759,-0.033829104,-0.013572156,-0.2787499,-0.014485738,-0.035617232,-0.3202774,-0.06025939,-0.031829417,-0.1970694,-0.042732697,-0.021596551,-0.19046074,-0.016996047,0.03847593,-0.2717825,-0.029456237,0.013916433,-0.29970983,-0.052048795,0.010624588,-0.21475232,-0.0382561,0.017491221,-0.2000823,-0.020374496,OK,2025-12-11T16:10:19.513665
0.0,0.0,0.0,-0.060670793,-0.027447164,-0.026853824,-0.12514603,-0.117599845,-0.04057791,-0.14161795,-0.22756237,-0.05623195,-0.11040747,-0.30996984,-0.064653255,-0.106523454,-0.2557364,0.0042062732,-0.13395661,-0.31804383,-0.038894244,-0.122163594,-0.2304408,-0.05440202,-0.10910171,-0.21187842,-0.057688873,-0.064144015,-0.27348575,0.00026188407,-0.088954985,-0.33172935,-0.044631984,-0.07709414,-0.20289654,-0.04215621,-0.06455767,-0.20268703,-0.026177501,-0.01724708,-0.276648,-0.013829169,-0.039968967,-0.32215214,-0.061604414,-0.035147727,-0.19465089,-0.04185485,-0.025213838,-0.18931955,-0.013558683,0.034870684,-0.2701586,-0.030983161,0.010751724,-0.30286577,-0.05509483,0.006400764,-0.2132783,-0.040021688,0.012458861,-0.19704682,-0.020586744,OK,2025-12-11T16:10:19.513668
