lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label,timestamp
0.0,0.0,0.0,-0.038228452,-0.0208323,-0.023970049,-0.06825107,-0.047455132,-0.043669175,-0.085029244,-0.05737728,-0.059649955,-0.095202625,-0.05830741,-0.075318165,-0.022212625,-0.08503783,-0.057330485,-0.049022436,0.0052010417,-0.07443106,-0.052671432,0.060309887,-0.081726596,-0.049182832,0.084665895,-0.08627301,0.016206205,-0.050688565,-0.056606647,-0.018749118,0.06713474,-0.07537921,-0.026694834,0.12709332,-0.079735644,-0.025739372,0.15430164,-0.082896575,0.04567921,-0.012489438,-0.054379564,0.0127055645,0.090631366,-0.07463533,0.0062333345,0.13900459,-0.072344415,0.0054695606,0.1618042,-0.06877803,0.06650716,0.024291217,-0.053425312,0.046856284,0.0973376,-0.06987713,0.03638321,0.13387203,-0.06532954,0.032311797,0.1500436,-0.059055477,PEACE,2025-12-11T16:10:59.786606
0.0,0.0,0.0,-0.0437513,-0.030621111,-0.02429708,-0.07929546,-0.0788995,-0.040174454,-0.097839236,-0.11422676,-0.05235272,-0.11261001,-0.1481108,-0.06140961,-0.035066187,-0.17116374,-0.042484343,-0.057740808,-0.118324876,-0.060529225,-0.06544167,-0.09216887,-0.06862701,-0.064941704,-0.08405888,-0.073555455,0.005531609,-0.15459007,-0.040850516,-0.029227436,-0.02472812,-0.06125811,-0.03917122,0.007882595,-0.06546661,-0.038218617,0.0046738386,-0.06665488,0.037896454,-0.117664516,-0.04009035,0.0018180013,0.00216496,-0.057776816,-0.0022693872,0.01711011,-0.052306846,0.0022475123,0.0031325817,-0.04646093,0.061599135,-0.07627237,-0.041961033,0.033807456,0.010217667,-0.05715907,0.028152227,0.023853064,-0.05418147,0.03195393,0.011155486,-0.04788444,PEACE,2025-12-11T16:10:59.786611
0.0,0.0,0.0,-0.040494204,-0.026766717,-0.028678013,-0.075707555,-0.05530739,-0.04773011,-0.09656781,-0.06900376,-0.06150023,-0.11179915,-0.08314079,-0.072485745,-0.03847629,-0.1512546,-0.054364715,-0.05423397,-0.059693575,-0.07682108,-0.059545606,-0.03083074,-0.088389836,-0.060190946,-0.031182647,-0.09585699,0.006384313,-0.1313405,-0.051893003,-0.023030818,0.018364549,-0.07487884,-0.037892163,0.039584875,-0.07871646,-0.0427866,0.026866198,-0.07981384,0.042341948,-0.09218967,-0.050409257,0.006255567,0.04058492,-0.07030352,-0.00457561,0.040235043,-0.061050944,-0.0055152774,0.014465809,-0.052132014,0.06866789,-0.049762905,-0.05212864,0.0377419,0.038873672,-0.07091791,0.027821183,0.036745787,-0.06674442,0.028375804,0.010489583,-0.059186224,PEACE,2025-12-11T16:10:59.786614
0.0,0.0,0.0,-0.038936555,-0.03253627,-0.023252286,-0.07211465,-0.07777327,-0.038217798,-0.09277773,-0.10771996,-0.05011814,-0.112758905,-0.13206369,-0.059256576,-0.028547466,-0.1632055,-0.038947433,-0.049788386,-0.1268776,-0.058539085,-0.05769375,-0.103340864,-0.06809975,-0.059536695,-0.08714402,-0.07320226,0.012629211,-0.14605498,-0.038313363,-0.023035884,-0.018453002,-0.06266754,-0.0348202,0.012855411,-0.068554476,-0.03606367,0.01475203,-0.069047414,0.04512316,-0.10547733,-0.039070204,0.010257661,0.005643964,-0.059687518,0.006177962,0.0067430735,-0.05570658,0.009630442,-0.0139580965,-0.04947364,0.069184065,-0.058602512,-0.04220869,0.04345882,0.0220263,-0.059918143,0.037520707,0.022200584,-0.058380935,0.04024452,3.0636787e-05,-0.05236914,PEACE,2025-12-11T16:10:59.786617
0.0,0.0,0.0,-0.041423738,-0.039607763,-0.014935782,-0.0698331,-0.09572846,-0.02549609,-0.0874989,-0.13952583,-0.03553136,-0.10984501,-0.16876948,-0.044677295,-0.035042107,-0.17399538,-0.025285,-0.045662224,-0.16408193,-0.04640195,-0.048998684,-0.15384734,-0.06139559,-0.05003491,-0.14281785,-0.07044018,0.004021764,-0.16593075,-0.028999511,-0.018619537,-0.06631088,-0.053572524,-0.033022106,-0.024747252,-0.06264285,-0.040300608,-0.00571692,-0.06522128,0.036973834,-0.13053536,-0.03414252,0.01122129,-0.03959316,-0.05502763,0.0012590289,-0.018134117,-0.051559005,-0.0026453137,-0.0153490305,-0.045261424,0.0641737,-0.086610496,-0.04116066,0.04415542,-0.02609533,-0.056592174,0.033852577,-0.009369254,-0.052725222,0.03129548,-0.008865118,-0.04552077,PEACE,2025-12-11T16:10:59.786621
0.0,0.0,0.0,-0.0422948,-0.031867564,-0.02518952,-0.074492246,-0.08033955,-0.04140568,-0.094328016,-0.11544335,-0.053541735,-0.113087595,-0.14319104,-0.061957393,-0.036235273,-0.1635552,-0.044878684,-0.055699736,-0.08229154,-0.07027229,-0.057786137,-0.021038175,-0.08170065,-0.056007266,0.012143731,-0.086619824,0.0039561987,-0.13827348,-0.044675637,-0.022604644,-0.019660652,-0.070624106,-0.031984866,0.019603372,-0.078078285,-0.03537661,0.022283554,-0.080690436,0.03670913,-0.09768671,-0.045887016,0.008950353,-0.002186358,-0.069818504,0.0038667321,0.0123384,-0.06677985,0.004776299,-0.0021809936,-0.061549477,0.06265545,-0.05374658,-0.049190566,0.041085422,0.0062747,-0.06794972,0.034116745,0.017984867,-0.06511109,0.034852207,0.0068764687,-0.059017997,PEACE,2025-12-11T16:10:59.786625
0.0,0.0,0.0,-0.04032576,-0.02122724,-0.021949906,-0.074403495,-0.057507038,-0.03955367,-0.097040355,-0.0874778,-0.05562662,-0.11700046,-0.11551398,-0.07078524,-0.03989327,-0.16240293,-0.039364606,-0.059372813,-0.17950201,-0.066378385,-0.067985535,-0.14782661,-0.08472707,-0.0699977,-0.11258662,-0.09504677,-0.0042507052,-0.15699017,-0.040953737,-0.024130344,-0.10369241,-0.06947212,-0.035188437,-0.045628965,-0.08126734,-0.03897071,-0.008347154,-0.0862097,0.025679767,-0.12545645,-0.044344455,0.009561121,-0.07524693,-0.07068291,0.0040647984,-0.03818661,-0.07239343,0.0038702488,-0.013752937,-0.06989092,0.0492239,-0.08387488,-0.049440973,0.039567888,-0.043400407,-0.07114997,0.036793828,-0.016964912,-0.07268674,0.03964126,-0.0026085377,-0.06963317,PEACE,2025-12-11T16:10:59.786629
0.0,0.0,0.0,-0.03984922,-0.025072396,-0.014485016,-0.0722872,-0.069581985,-0.025368948,-0.091394424,-0.107171,-0.035973955,-0.108383924,-0.14272755,-0.046430055,-0.04187584,-0.16058713,-0.023990432,-0.057477355,-0.18396401,-0.045840587,-0.06639004,-0.1801815,-0.0626599,-0.07300305,-0.16831934,-0.072465055,-0.007739842,-0.15702236,-0.027604908,-0.026957452,-0.11623669,-0.049632985,-0.037616253,-0.067516506,-0.058355995,-0.042386353,-0.036708057,-0.061145082,0.022014678,-0.12567616,-0.03286973,0.0045304894,-0.07982576,-0.054726027,-0.002513945,-0.040952623,-0.05380922,-0.0050754547,-0.014599323,-0.04889183,0.046275973,-0.08241844,-0.039269723,0.032170415,-0.04281503,-0.057150032,0.022337437,-0.01357162,-0.05498115,0.017535746,0.007479787,-0.048714086,PEACE,2025-12-11T16:10:59.786631
0.0,0.0,0.0,-0.036251247,-0.023217678,-0.018267954,-0.06607342,-0.05999881,-0.032049097,-0.08345419,-0.08949673,-0.044615425,-0.09327376,-0.11690235,-0.057066277,-0.040133834,-0.1519733,-0.029164165,-0.05617678,-0.16853225,-0.05239394,-0.064450204,-0.1703586,-0.07073529,-0.070878506,-0.1663239,-0.08211521,-0.006060362,-0.14992148,-0.03135451,-0.027067423,-0.09900677,-0.054984763,-0.036872506,-0.05276805,-0.06451201,-0.040742457,-0.026599288,-0.06789614,0.02319187,-0.11987245,-0.035377033,0.004858434,-0.061723173,-0.057405386,0.00015801191,-0.028651118,-0.05657699,-0.0005455017,-0.009654641,-0.052094664,0.047593355,-0.07848811,-0.041060388,0.034617543,-0.03094107,-0.058334507,0.02680105,-0.005036354,-0.05618021,0.023778915,0.009395957,-0.05039008,PEACE,2025-12-11T16:10:59.786634
0.0,0.0,0.0,-0.048278153,-0.02605921,-0.05072344,-0.080877066,-0.09333694,-0.0822421,-0.058659196,-0.14404947,-0.10929102,-0.021693587,-0.18075067,-0.13305813,-0.07892531,-0.26532227,-0.066876456,-0.089877784,-0.38723272,-0.11067141,-0.094248235,-0.467483,-0.13436061,-0.097914994,-0.5419472,-0.1468916,-0.022470474,-0.28183866,-0.06427255,-0.0067986846,-0.42689294,-0.10824191,0.00435102,-0.5229728,-0.1272292,0.013175666,-0.60801315,-0.13251813,0.0271855,-0.26059633,-0.06564514,0.034110427,-0.2613064,-0.1205922,0.0092356205,-0.1630001,-0.12484504,-0.011659384,-0.09327757,-0.11151829,0.06815553,-0.21132046,-0.070897296,0.061025143,-0.16260105,-0.115337916,0.0329625,-0.07693839,-0.116075575,0.010086834,-0.014212012,-0.104419135,PEACE,2025-12-11T16:10:59.786637
0.0,0.0,0.0,-0.050468147,-0.023962557,-0.027109992,-0.09109306,-0.075469375,-0.05085905,-0.070329666,-0.10889375,-0.07561378,-0.035402834,-0.14306313,-0.09992125,-0.08533275,-0.26499772,-0.050149474,-0.1002686,-0.3884357,-0.08372726,-0.105780035,-0.46716112,-0.10256615,-0.10638031,-0.53639853,-0.1139534,-0.03198576,-0.2850083,-0.059014436,-0.021951795,-0.4247921,-0.09392691,-0.0104237795,-0.5212407,-0.11425985,-0.00019103289,-0.6060602,-0.1236752,0.015162647,-0.26223618,-0.06921276,0.011751652,-0.23296833,-0.10607521,-0.006890893,-0.14197981,-0.110650204,-0.021773458,-0.08129692,-0.103803836,0.051723063,-0.21476811,-0.08182338,0.037024975,-0.1501295,-0.10569464,0.015396416,-0.08195269,-0.10233071,-0.0011787415,-0.035770178,-0.09356345,PEACE,2025-12-11T16:10:59.786640
