lm_0,lm_1,lm_2,lm_3,lm_4,lm_5,lm_6,lm_7,lm_8,lm_9,lm_10,lm_11,lm_12,lm_13,lm_14,lm_15,lm_16,lm_17,lm_18,lm_19,lm_20,lm_21,lm_22,lm_23,lm_24,lm_25,lm_26,lm_27,lm_28,lm_29,lm_30,lm_31,lm_32,lm_33,lm_34,lm_35,lm_36,lm_37,lm_38,lm_39,lm_40,lm_41,lm_42,lm_43,lm_44,lm_45,lm_46,lm_47,lm_48,lm_49,lm_50,lm_51,lm_52,lm_53,lm_54,lm_55,lm_56,lm_57,lm_58,lm_59,lm_60,lm_61,lm_62,label,timestamp
0.0,0.0,0.0,0.01239419,-0.088776946,-0.013298588,0.0034838319,-0.16566545,-0.024151605,-0.018823922,-0.22949928,-0.032094106,-0.036768794,-0.28391278,-0.040643282,-0.04729545,-0.16189092,-0.030801823,-0.09108335,-0.233145,-0.042586762,-0.115317404,-0.27211738,-0.048031967,-0.13334236,-0.30114305,-0.050980598,-0.07175356,-0.11914694,-0.029741587,-0.11874896,-0.1952678,-0.040564675,-0.14377752,-0.24112624,-0.045669362,-0.1615749,-0.27565914,-0.04884364,-0.087786555,-0.07571924,-0.028507663,-0.1328558,-0.14257693,-0.037298966,-0.15944752,-0.18771327,-0.04305399,-0.17829055,-0.221784,-0.047154002,-0.096037716,-0.03825271,-0.02748016,-0.13213891,-0.091561735,-0.036336977,-0.15300953,-0.12530684,-0.040530294,-0.16902229,-0.15384692,-0.042511676,PLEASE,2025-12-11T16:11:31.329440
0.0,0.0,0.0,0.0069586635,-0.08748776,-0.012005767,-0.0057063103,-0.1603477,-0.022263864,-0.030244052,-0.22463298,-0.030030744,-0.050718427,-0.27772552,-0.037867866,-0.056500405,-0.15841216,-0.02478289,-0.10097626,-0.22569364,-0.036036693,-0.1253387,-0.26189983,-0.041635636,-0.14262068,-0.287641,-0.04414889,-0.08033112,-0.12015498,-0.023372794,-0.12859249,-0.19258201,-0.031190222,-0.1531738,-0.23251551,-0.034334935,-0.16868636,-0.26095718,-0.03623497,-0.09619826,-0.080103934,-0.022011634,-0.14217001,-0.14311421,-0.027191747,-0.16510236,-0.17977446,-0.028942427,-0.1789279,-0.20761722,-0.030593093,-0.105082005,-0.043732822,-0.021203201,-0.14148489,-0.08637601,-0.02561051,-0.15908882,-0.11352724,-0.025592778,-0.17030084,-0.1381504,-0.024634441,PLEASE,2025-12-11T16:11:31.329445
0.0,0.0,0.0,0.006909609,-0.09167707,-0.008526058,-0.006344795,-0.16568291,-0.01651734,-0.03129506,-0.22638714,-0.022634566,-0.04937756,-0.27718896,-0.028830644,-0.0599775,-0.16355348,-0.020365726,-0.1056028,-0.23055303,-0.029917303,-0.12900347,-0.26696533,-0.03436015,-0.14479625,-0.29426897,-0.03634273,-0.08314797,-0.12182176,-0.02017796,-0.1325618,-0.19198602,-0.027572503,-0.15752834,-0.23112988,-0.03063075,-0.17297131,-0.2601676,-0.032385707,-0.09728354,-0.07809621,-0.019851387,-0.1450634,-0.13740659,-0.025405541,-0.17023039,-0.17425025,-0.028558133,-0.18603602,-0.20292753,-0.031127552,-0.1036872,-0.038062394,-0.019618265,-0.14083889,-0.07905853,-0.025026584,-0.16015923,-0.105547786,-0.026451595,-0.17350417,-0.13095862,-0.026560923,PLEASE,2025-12-11T16:11:31.329448
0.0,0.0,0.0,0.007138014,-0.093152404,-0.00898719,-0.00651139,-0.16971624,-0.016931847,-0.03230095,-0.23402172,-0.022640975,-0.049542546,-0.28869498,-0.02829268,-0.059144914,-0.15915924,-0.022236643,-0.10582256,-0.22692007,-0.031608645,-0.13109928,-0.2615711,-0.035840485,-0.14985561,-0.28729635,-0.0378569,-0.08158755,-0.117754936,-0.02159495,-0.13125661,-0.19285339,-0.029074151,-0.1581859,-0.23419231,-0.031815298,-0.17561534,-0.26416826,-0.033507388,-0.095296144,-0.07679123,-0.020709097,-0.14178231,-0.14296561,-0.025757931,-0.168123,-0.1822837,-0.028355267,-0.18560126,-0.21200484,-0.030610587,-0.10172632,-0.041252077,-0.02007514,-0.1384671,-0.09083933,-0.024590869,-0.15912244,-0.119846344,-0.02555156,-0.17485264,-0.14514959,-0.025540402,PLEASE,2025-12-11T16:11:31.329451
0.0,0.0,0.0,0.0057114363,-0.09420937,-0.008302792,-0.007677734,-0.16920638,-0.016354168,-0.031731367,-0.23254228,-0.022881253,-0.048344016,-0.28769755,-0.02934299,-0.06272322,-0.1616646,-0.017135877,-0.10800797,-0.22720969,-0.025698628,-0.13235855,-0.26109517,-0.03005484,-0.14958674,-0.28518444,-0.03221999,-0.08392486,-0.11950636,-0.017307753,-0.13201106,-0.19025731,-0.02363361,-0.15745696,-0.23011255,-0.026506864,-0.17365643,-0.25930333,-0.028370757,-0.09657371,-0.077012,-0.017699964,-0.14290905,-0.1392991,-0.022395799,-0.16905901,-0.17790651,-0.025420604,-0.18636,-0.20806408,-0.028073385,-0.10237858,-0.03992319,-0.01836289,-0.13971016,-0.08621514,-0.023141969,-0.16022676,-0.114996016,-0.024567388,-0.17548567,-0.14162129,-0.024876893,PLEASE,2025-12-11T16:11:31.329454
0.0,0.0,0.0,0.004527688,-0.09343839,-0.009051163,-0.0075545907,-0.16698688,-0.017315166,-0.030768573,-0.2292611,-0.024022337,-0.045472264,-0.2845177,-0.030592415,-0.061018348,-0.16011184,-0.01692758,-0.1059778,-0.22374576,-0.02605805,-0.130364,-0.25783223,-0.031094672,-0.14821419,-0.28421265,-0.033874717,-0.08258599,-0.11849558,-0.017156843,-0.13099569,-0.1869517,-0.025038889,-0.15767342,-0.22657263,-0.02913929,-0.17570916,-0.25662625,-0.031666696,-0.09562537,-0.07632446,-0.017636945,-0.14143836,-0.13487715,-0.023560094,-0.16693562,-0.17142534,-0.026929121,-0.18412381,-0.20101643,-0.029436782,-0.10197383,-0.03933835,-0.018527063,-0.13799465,-0.0838483,-0.023685677,-0.15750915,-0.11210042,-0.025038473,-0.17191541,-0.1392746,-0.025184209,PLEASE,2025-12-11T16:11:31.329457
0.0,0.0,0.0,0.0070587993,-0.093260646,-0.01070098,-0.004421532,-0.1687336,-0.02029052,-0.026791155,-0.23308194,-0.027956562,-0.042109013,-0.28932273,-0.03569345,-0.060084105,-0.16250616,-0.020924537,-0.105409205,-0.22564775,-0.030560927,-0.13067386,-0.25821066,-0.035946142,-0.14970085,-0.28244746,-0.039117854,-0.08211386,-0.12016207,-0.020703143,-0.1305958,-0.1896674,-0.028021937,-0.15804872,-0.22794616,-0.03210251,-0.17659202,-0.25610274,-0.035181347,-0.09550056,-0.077460885,-0.020679684,-0.14062247,-0.14128959,-0.0260592,-0.16729325,-0.17902702,-0.029754039,-0.18555802,-0.20841956,-0.03312197,-0.10201985,-0.03984964,-0.02112989,-0.13781697,-0.087875724,-0.026627865,-0.1576677,-0.11640614,-0.028524473,-0.17287502,-0.14230412,-0.029317748,PLEASE,2025-12-11T16:11:31.329460
0.0,0.0,0.0,0.007115066,-0.09385228,-0.0110708885,-0.004221976,-0.16752338,-0.02024563,-0.027290761,-0.23061836,-0.027295697,-0.043684542,-0.2858655,-0.034170087,-0.062065452,-0.15940368,-0.020051554,-0.10803807,-0.22355235,-0.028948737,-0.13291684,-0.25752324,-0.03355743,-0.15158704,-0.28311795,-0.036028344,-0.083863646,-0.11713326,-0.018954385,-0.13257155,-0.18745822,-0.02581638,-0.1597381,-0.22703183,-0.028982025,-0.17775849,-0.2558214,-0.0310926,-0.09686199,-0.07513654,-0.01818637,-0.1425972,-0.13906801,-0.023352405,-0.16884962,-0.17797041,-0.026665233,-0.18693599,-0.208081,-0.029386366,-0.10282126,-0.039246082,-0.017926525,-0.13939136,-0.08804953,-0.02280425,-0.15934685,-0.1164785,-0.02422967,-0.17443457,-0.14160532,-0.024537634,PLEASE,2025-12-11T16:11:31.329463
0.0,0.0,0.0,0.004836142,-0.09114504,-0.007597401,-0.0077344775,-0.16372824,-0.015673373,-0.03107071,-0.22393155,-0.022781923,-0.04273522,-0.2808078,-0.030310456,-0.06204608,-0.16195798,-0.01574986,-0.10684797,-0.21960187,-0.024726674,-0.13270834,-0.24972332,-0.030118056,-0.15202582,-0.27163064,-0.033455845,-0.083948284,-0.1224764,-0.01722811,-0.13397592,-0.18685597,-0.024009513,-0.1621961,-0.22152358,-0.028321497,-0.1813905,-0.24649304,-0.031353686,-0.09752634,-0.08065212,-0.018809669,-0.14496672,-0.1406036,-0.024204796,-0.17220348,-0.17477912,-0.028339816,-0.19098935,-0.20110565,-0.03181794,-0.10439685,-0.04070711,-0.020581763,-0.14098802,-0.08057809,-0.026031924,-0.16081104,-0.10320711,-0.027790142,-0.17595115,-0.12362027,-0.028303232,PLEASE,2025-12-11T16:11:31.329468
0.0,0.0,0.0,0.0041874647,-0.092941105,-0.006267167,-0.00894326,-0.1673724,-0.013948568,-0.03181386,-0.22890496,-0.02081768,-0.04244876,-0.28560466,-0.027857473,-0.06461039,-0.16649646,-0.014005365,-0.110978425,-0.22585422,-0.021984827,-0.13791686,-0.25353026,-0.02672564,-0.15783411,-0.27168763,-0.029443031,-0.08511481,-0.12411827,-0.015526091,-0.13416827,-0.1909796,-0.021038234,-0.16262746,-0.22503287,-0.024376877,-0.18171215,-0.24836755,-0.026912278,-0.09764519,-0.08038473,-0.017087327,-0.1438452,-0.14194733,-0.020955276,-0.17088008,-0.17773098,-0.024029871,-0.18876243,-0.20397425,-0.027019039,-0.10414645,-0.039592624,-0.01884124,-0.14042735,-0.08472186,-0.022814669,-0.16085216,-0.1127187,-0.0239589,-0.17631581,-0.13821036,-0.024272827,PLEASE,2025-12-11T16:11:31.329471
